numberOfTweet,text,user name,screen name,description,gender
1,"Brexit, Trump, AfD, Le Pen - to many a ""feel-good"" of the moment, but with devastating future consequences.",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
135,Did you hear this? The Whale - single by @suethenight https://t.co/cssJuMDCTB on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
136,Did you hear this? Breathe In by @AmaranteMusic https://t.co/EoapuT3ZDF on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
137,"@kirklove that too, yes",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
138,"Our airwaves deserve the smartest, not the loudest.",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
139,Did you hear this? All Tvvins - Thank You by @alltvvins https://t.co/ly8Pp7yqyG on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
140,@bijan compiled my autumn in music so far... https://t.co/ybmbe7YNr2,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
141,@dianakimball @SoundCloud one sad and one happy eye,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
142,My autumn in music... until winter comes https://t.co/ybmbe7YNr2,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
143,@bijan @LoFi_Music thanks for listening! I am great my friend. I am great. Can't wait to meet again,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
144,Did you hear this? Lungs by Still Weeks https://t.co/ntenIChuvs on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
145,Did you hear this? Roo Panes:Thoughts For Absent Friends by @lofi_music https://t.co/f7pQMskpOI on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
146,@thomasbannelier hence the role :),David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
147,Duolingo is looking to hire their first Marketing Lead in Europe https://t.co/9O6HssGGf0,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
148,Did you hear this? Steamroller by @portisla https://t.co/BQjLjrsNFi on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
149,Fantastic to see how the Factory is evolving into an institution in the Berlin startup community. Glad to be a part https://t.co/NerUHj09G6,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
150,Did you hear this? Isolation by Alberta Cross https://t.co/sTBHaSAaIn on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
151,Did you hear this? Alberta Cross - Ghost Of Santa Fe by @dinealonemusic https://t.co/erm8n6rsMs on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
152,Did you hear this? Without You by @ohwondermusic https://t.co/x9X0qljVXJ on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
153,@dianakimball cannot wait!!,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
