numberOfTweet,text,user name,screen name,description,gender
108,@ellenjdasilva nuts! Glad you're okay. Will be in Boston next week and would love to see you,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
109,@sararoecker congrats!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
110,@rrhoover @Besvinick @stevesi @ProductHunt 😍,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
111,@Nivo0o0 talk about a #My30Under30 endorsement for @Besvinick from @sacca! Cc @Forbes,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
112,@bjp @kpf best. run-in. ever. More importantly: why are you able to see coins next to everyone but me?,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
113,Great @Mashable article to reinforce why I love Apple: Inside Apple's perfectionism machine https://t.co/Z6PsGbbmYR,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
114,"@magicandrew @TwitterMoments he's a modern day Clippy. A millennial Clippy, if you will... https://t.co/DTyaGa95Dc",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
115,"@MilesPavoni thanks for the follow, handsome guy! Can't wait to meet you ;)",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
116,"Most SF email ever (""Kale Chips"" is a conference room): http://t.co/F8TxcFw7zB",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
117,@sandyearley beautiful! Congrats!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
118,@StewCornelius you'll appreciate this: https://t.co/ozrXBoOLez,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
119,@StewCornelius @dylanparks @ArbenPerk on fleek 💁🏻,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
120,http://t.co/BSxYYq6tjI will send New England foliage to your doorstep for just $19.99. Squirrels and acorns not included. #🍁,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
121,"Love this, @melissabarnes! I'll take all the career advice from you I can get - keep killin' it http://t.co/nqp7lzFqwz",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
122,Congrats @adambain - psyched to see this recognition and new role for you. No one deserves it more!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
123,@ryandawidjan @Besvinick PEANUTS!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
124,"Thanks, #PeanutsMovie - the resemblance to @Besvinick and me is uncanny! http://t.co/EAVQyx9Tjw",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
125,📌📌📌📌📌 http://t.co/hL0bAgVdjB,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
126,"@Besvinick @jordancooper - @Pinterest is personal. It's a tool to discover new ideas, save them and do them. I Pin for me, not my followers!",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
127,@eryanobrien thanks for a great night! Who won the #WatchPartyIBM scavenger hunt? Cc @ibmevents,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
128,#USOpen selfie for the final #WatchPartyIBM #scavengerhunt task! http://t.co/6ucWYqblhm,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
129,@IBM thanks! Courtesy of @NailSnaps,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
130,@clayco so glad you noticed my @NailSnaps! 💁🏻 #onfleek,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
131,#USOpen app powered by @IBM #WatchPartyIBM #scavengerhunt http://t.co/NLUjS5WPX0,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
132,Djokovic serving 122 mph for the #WatchPartyIBM #scavengerhunt http://t.co/BCkZ2FYCjE,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
133,Hanging in the IBM Scoring/Stats room before the match #WatchPartyIBM #scavengerhunt http://t.co/udbi7rOyPT,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
134,Here we go men's semifinals #WatchPartyIBM! http://t.co/FfB4lbmtKi,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
135,@cltom! @Besvinick and I will see you there!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
136,Who is @StartupLJackson? https://t.co/i2EmInCQmP,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
137,"Swap out banner ads with your to-do list - well done, @PostIt! http://t.co/47Q8iut0E1",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
138,I see potential in @Instagram's share button for both users (fewer @-mentions) and ads (new signals for retargeting) https://t.co/mwgAQKlSMl,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
