numberOfTweet,text,user name,screen name,description,gender
124,Gaan douchen zonder een handdoek meenemen is K-K-Koud!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
125,"Jippie, ik heb post!! #instaswap2014falledition http://t.co/D8Et7GnNLB",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
126,Dat je na een saaie studie avond zin hebt in iets lekkers en bedenkt dat je nog appeltaart hebt. APPELTAART!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
127,"In een week tijd twee keer een vastgelopen Word, niet ok &gt;.&lt;",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
128,"@MaaikeSchimmel lijkt me gezellig, wanneer en waar? :)",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
129,"Vanochtend dacht ik voor de grap nog misschien moet ik mn rolgordijnen dicht laten, maar toch maar niet gedaan. Had het best kunnen doen..",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
130,"Heerlijke salade gemaakt, alleen is het veel te veel, echt zonde!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
131,"@ikbenirisniet haha, als ik iets met een konijn zie moet ik ook altijd aan jou denken, ben duidelijk niet de enige ;)",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
132,"Zo, voor 9 uur alle administratie het laatje ingewerkt, ik ben er klaar mee!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
133,@wobgirl van harte gefeliciteerd!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
134,@Fliene dat is nog eens fijn!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
135,@Fliene dan is er vast iemand erg blij ;),Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
136,Spotify premium is ook een feit :),Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
137,@Fliene ben benieuwd wat het wordt! Ik ben nog altijd erg blij met m’n nikon d3100,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
138,@Fliene ga je een andere kopen?,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
139,Maar als ik straks klaar ben beloon ik mezelf met een aflevering Grimm.,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
140,"Dat je aan je studie wil starten en denkt, hmm misschien moet ik eerst even stofzuigen? Hoezo studie ontwijkend gedrag? -_-",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
141,"@Fliene Goed zo! Rustig aan doen, het is toch zondag :)",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
142,"@Fliene ai, dat is nooit goed! Lekker kopje thee maken en met een dekentje en een serie de bank op.",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
143,"Pff, dat productief zijn dat ik met mezelf heb afgesproken lukt niet helemaal.. Slecht 1 reflectie getypt. nog 4 te gaan. Bah!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
144,Ik zit nog geen uur aan m’n studie en vertoon al studieontwijkend gedrag. Zelfstudie is zo niet mijn ding,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
145,@Suuz_ @ikbenirisniet @Miekelaa ik gok nu toch maar op 20.00 al hoop ik voor @iooon wat eerder want het duurt wel lang anders...,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
146,"Of er een cardioloog met spoed naar recovery wel komen, vervolgens loopt mevrouw op d'r dooie gemakje weg...",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
147,@Fliene goed in de gaten houden ;),Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
148,"@Fliene ah netjes! Hoop voor je dat er snel iets is, maar zal nog even duren inderdaad.",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
149,@Fliene al een nieuwe telefoon ook ?,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
150,@Fliene eh jakkes! Dat is stom!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
151,Net die ene keer dat ik mn haakwerk niet meeneem naar het ziekenhuis blijkt dat ik dat beter wel had kunnen doen...,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
152,@Miekelaa ik zeg 13.00.,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
153,@Miekelaa haha ja! Dat ga ik me nu de hele dag afvragen!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
154,@xsuuuuuz in t onderwijs moet je vroeg op maar ik ben normaal gesproken niet om kwart over 5 wakker...,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
155,Waarom ben ik nou weer zo vroeg wakker &gt;&lt;,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
156,@iooon succes! Komt helemaal goed. :),Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
157,"Iemand in t pand is gewoon uitgebreid aan t stofzuigen, het is half 11 geweest! Stop ermee, ik wil slapen.",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
158,"@iooon daarom! Iedereen houdt t in de gaten, je bent bijna beroemd joh!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
159,@iooon nou er zijn meer mensen teleurgesteld dat mini viking er nog steeds niet is ;),Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
160,"@MaaikeSchimmel nee dat heb ik niet, ik weet ik niet zo goed of ze dat zou dragen.. Heb n bijzondere oma ;)",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
161,@Ester_Massuger thanks voor het meedenken :),Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
162,@LizGreenash mooi nummer!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
163,"Mijn oma wordt 80 jaar volgende maand, geweldige leeftijd maar wat geef je haar cadeau? Iemand #tips? #dtv",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
164,@iooon spannend!!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
165,@Liefmeisje1988 ja echt heel fijn!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
166,@Mama_Angelique fijn om te horen! Je verdiend het :),Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
167,"@Mama_Angelique zal ik je helpen met je letters, als dat nog nodig is. Maar eerst even verhuizen ;)",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
168,@Mama_Angelique ja ik heb de keuze zelf gemaakt en sta er volkomen achter. Met als jij met je keuze (cont) http://t.co/r9JH2gVvID,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
169,"@Mama_Angelique nee denk het niet, heb het nog niet uitgebreid gemeld op social media. Maar Joshua en ik zijn uit elkaar en dus ga ik weg.",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
170,"En ook de wasmachine voor in m’n nieuwe huis is besteld, woensdag komt echt alles bij elkaar!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
171,Nachtelijk wakker liggen helpt wel voor de vorderingen van je deken. Ik zat vanochtend om half 7 al te… http://t.co/Li6crTXKem,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
172,"@Miekelaa veel te vroeg,!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
173,@Miekelaa nou als ik normaal gesproken om half 7 wakker moet worden lukt mij dat ook nooit... Werkse!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
174,"Nog altijd klaar wakker, dus maar een haak werkje gehaald. Ik val straks om van de slaap maar dat zijn details",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
175,"Na jaren gebruik gemaakt te hebben van de wake up light kom ik er zojuist achter dat die 2 puntje tussen de 6 en 11 in dit geval, knipperen!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
176,"@iooon ja, net als bij jou ook een geheel nieuwe fase. Dat brengt gezonde spanning met zich mee en er zal blijken wat voor leuks het brengt",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
177,@iooon maar vind t ook wel rete spannend! Straks zit ik daar helemaal alleen xD dat lijkt me heel fijn en tegelijkertijd ook heel eng,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
178,@iooon ja ik waardeer het echt enorm dat we alles zo goed kunnen regelen. Kan t ook niet vaak genoeg zeggen. Eigen plekje is wel heel leuk,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
179,@iooon woensdag komen mn ikea spullen dus ik hoop dan t meeste over te hebben gebracht. Schilderwerk was niet veel nodig gelukkig!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
180,@iooon maar ik denk dat zoiets om moeilijk in te schatten is via social media. Josh helpt me momenteel super met schilderen en sjouwen.,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
181,@iooon nou familie om mij heen zag het wel aankomen Ik ben heel blij met josh in mn leven maar dan als vriend Hij is echt een maatje van me,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
182,@iooon komt helemaal goed! Heb er als vertrouwen in.,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
183,@iooon al beetje klaar met de zwangerschap of mag het nog even duren?,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
184,@iooon ik heb maar een spelletje liggen spelen... Zo maar weer proberen te slapen.. Hoe gaat het met jou?,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
185,"Wat een feestje dit, alweer midden in de nacht klaar wakker. Ik ben in staat om op te staan, zo wakker...",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
186,someone like yoooouuuuu #guiltypleasure,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
187,"@Fliene nee nog niet, gisteren naar ikea geweest. 22 oktober komen ze de grote spullen, bed en bank, afleveren.",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
188,"Ach, wie wil er dan ook 3 hoog wonen...",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
189,Als een kip zonder kop vergeet ik eerst het gehakt uit de koelkast om vervolgens tot de conclusie te komen dat mn tas nog 3 nog staat. Zucht,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
190,Bij je week boodschappen de room vergeten is niet handig... Alsnog naar de winkel dus,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
191,Ik ben nog zo moe dat ik mn tanden sta te poetsen voordat ik mn ontbijt op heb..,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
192,"@Liefmeisje1988 nou heb nu 2 dagen, maar dat is niet genoeg om alle vaste lasten te kunnen betalen.",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
193,@Jeszica89 Ja dan vraag je om problemen he ;),Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
194,@Jeszica89 Volgens mij hebben veel mensen m ontvangen vandaag want de wachttijd bij duo is meer dan 10 minuten,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
195,@Jeszica89 ja dat je die moet melden is echt vervelend voor een hypotheek!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
196,"@Jeszica89 Ja ik moet dus 1 januari starten, en heb geen vaste baan. Zeer vervelend natuurlijk maar het is niet anders.",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
197,@Jeszica89 Wel fijn als het jou lukt! Grote zorg minder lijkt me,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
